'RAT','BLOODTOL','BRAINTOL','PPM_TOLU','WEIGHT','AGE','LN_BLDTL','LN_BRNTL','LN_PPMTL'
1,0.553,0.481,50,393,95,-0.593,-0.732,3.912
2,0.494,0.584,50,378,95,-0.706,-0.538,3.912
3,0.609,0.585,50,450,95,-0.495,-0.536,3.912
4,0.763,0.628,50,439,95,-0.27,-0.465,3.912
5,0.42,0.533,50,397,95,-0.868,-0.629,3.912
6,0.397,0.49,50,301,84,-0.923,-0.713,3.912
7,0.503,0.719,50,406,84,-0.687,-0.33,3.912
8,0.534,0.585,50,302,84,-0.628,-0.536,3.912
9,0.531,0.675,50,382,84,-0.633,-0.393,3.912
10,0.384,0.442,50,355,84,-0.957,-0.816,3.912
11,0.215,0.492,50,405,85,-1.536,-0.709,3.912
12,0.552,0.859,50,405,85,-0.595,-0.152,3.912
13,0.42,0.65,50,387,85,-0.868,-0.431,3.912
14,0.324,0.528,50,358,85,-1.127,-0.639,3.912
15,0.387,0.546,50,311,85,-0.949,-0.605,3.912
16,1.036,1.262,100,355,86,0.035,0.233,4.605
17,1.065,1.584,100,440,86,0.063,0.46,4.605
18,1.084,1.773,100,421,86,0.081,0.573,4.605
19,0.944,1.307,100,370,86,-0.058,0.268,4.605
20,0.994,1.338,100,375,86,-0.006,0.291,4.605
21,1.146,1.18,100,368,83,0.136,0.166,4.605
22,1.167,1.108,100,321,83,0.154,0.103,4.605
23,0.833,0.939,100,359,83,-0.183,-0.063,4.605
24,0.63,0.909,100,367,83,-0.462,-0.095,4.605
25,0.955,1.078,100,363,83,-0.046,0.075,4.605
26,0.687,1.152,100,388,86,-0.376,0.141,4.605
27,0.723,1.796,100,404,86,-0.324,0.586,4.605
28,0.705,1.262,100,454,86,-0.349,0.233,4.605
29,0.696,1.865,100,389,86,-0.363,0.623,4.605
30,0.868,1.892,100,352,86,-0.142,0.638,4.605
31,8.223,19.843,500,367,83,2.107,2.988,6.215
32,10.604,24.45,500,406,83,2.361,3.197,6.215
33,12.085,29.297,500,371,83,2.492,3.377,6.215
34,7.936,18.098,500,408,83,2.071,2.896,6.215
35,11.164,25.196,500,305,83,2.413,3.227,6.215
36,10.289,18.266,500,391,84,2.331,2.905,6.215
37,11.14,19.486,500,396,84,2.411,2.97,6.215
38,9.647,18.479,500,347,84,2.267,2.917,6.215
39,13.343,21.92,500,372,84,2.591,3.087,6.215
40,11.292,20.861,500,331,84,2.424,3.038,6.215
41,7.524,22.13,500,365,85,2.018,3.097,6.215
42,10.783,18.301,500,348,85,2.378,2.907,6.215
43,8.595,17.038,500,416,85,2.151,2.835,6.215
44,9.616,22.423,500,344,85,2.263,3.11,6.215
45,11.956,15.452,500,398,85,2.481,2.738,6.215
46,30.274,44.9,1000,417,93,3.41,3.804,6.908
47,32.923,35.5,1000,351,93,3.494,3.57,6.908
48,28.619,30.8,1000,378,93,3.354,3.428,6.908
49,28.761,38.5,1000,338,93,3.359,3.651,6.908
50,25.402,31.5,1000,433,93,3.235,3.45,6.908
51,35.464,42.33,1000,342,85,3.569,3.745,6.908
52,32.706,34.03,1000,319,85,3.488,3.527,6.908
53,29.347,30.76,1000,440,85,3.379,3.426,6.908
54,26.481,32.36,1000,363,85,3.276,3.477,6.908
55,33.401,41.83,1000,336,85,3.509,3.734,6.908
56,39.541,54.93,1000,378,86,3.677,4.006,6.908
57,28.155,39.78,1000,420,86,3.338,3.683,6.908
58,25.629,49.29,1000,346,86,3.244,3.898,6.908
59,33.188,47.49,1000,413,86,3.502,3.861,6.908
60,33.505,42.66,1000,432,86,3.512,3.753,6.908
