'COMPANY','RANK90','RANK89','PERATIO','YIELD','COMPANY0'
'AT&T',4,4,17,2.87,1
'MERCK',7,7,19,2.54,2
'BOEING',27,41,24,1.72,3
'AMER. HOME PROD.',32,37,14,4.26,2
'WALT DISNEY',33,42,23,0.41,3
'PFIZER',46,46,14,4.1,2
'MCI COMMUNICATIONS',52,72,19,0,1
'DUNN & BRADSTREET',55,48,15,4.27,3
'UNITED TELECOMM.',63,93,22,2.61,1
'WARNER LAMBERT',77,91,17,2.94,2
'ITT',81,57,8,2.98,3
'HUMANA',162,209,15,2.62,2
'SALOMON',236,172,7,2.91,3
'WALGREEN',242,262,17,1.87,2
'LINCOLN NATIONAL',273,274,9,4.73,3
'CITIZENS UTILITIES',348,302,21,0,1
'MNC FINANCIAL',345,398,6,5.46,3
'BAUSCH & LOMB',354,391,15,1.99,2
'MEDTRONIC',356,471,16,1.1,2
'CIRCUIT CITY',497,514,14,0.33,3
