'ID','AGE','SEX','WP','MC','DEP'
1,45,2,90,70,69
2,35,1,90,75,75
3,32,2,70,32,35
4,32,2,80,30,73
5,39,2,85,55,86
6,25,2,85,6,161
7,22,1,75,20,202
8,30,2,70,63,91
9,49,2,75,4,113
10,47,1,84,12,68
11,48,1,64,11,109
12,49,2,85,7,92
13,45,2,80,8,80
14,41,2,80,15,82
15,45,2,82,6,156
16,59,2,72,5,198
17,42,2,70,17,170
18,35,1,70,29,188
19,31,2,70,80,82
20,45,1,70,126,37
21,28,1,85,30,194
22,37,1,90,9,294
23,29,1,80,14,94
24,29,1,70,24,126
25,31,1,80,21,192
26,29,1,60,11,232
27,29,1,70,10,184
28,23,2,80,10,238
29,44,2,78,19,112
30,28,1,70,22,141
31,32,2,70,21,108
32,36,2,74,77,87
33,22,2,78,67,33
34,46,2,70,25,73
35,21,1,70,14,168
36,34,1,80,17,218
37,27,2,80,18,175
38,31,2,80,42,126
39,19,2,75,36,135
