'IPR','PRS','Rat','1_Drug','2_Drug','3_Drug','4_Drug'
'Slow',2,1,0.81,0.8,0.82,0.5
'Slow',2,2,0.77,0.78,0.79,0.51
'Slow',2,3,0.8,0.82,0.83,0.52
'Slow',2,4,0.95,0.95,0.91,0.6
'Slow',5,5,2.18,2.44,1.92,0.92
'Slow',5,6,2.02,2.2,1.75,0.82
'Slow',5,7,2.06,2.28,1.86,0.8
'Slow',5,8,2.28,2.46,1.9,0.9
'Medium',2,9,1.03,1.13,1.04,0.82
'Medium',2,10,0.96,0.93,1.02,0.63
'Medium',2,11,0.98,1,0.98,0.74
'Medium',2,12,1.17,1.2,1.18,0.91
'Medium',5,13,2.62,2.58,2.21,1.03
'Medium',5,14,2.6,2.6,2.34,1.14
'Medium',5,15,2.39,2.41,2.09,0.9
'Medium',5,16,2.7,2.64,2.23,1.02
'Fast',2,17,1.2,1.24,1.27,0.96
'Fast',2,18,1.25,1.23,1.3,1.01
'Fast',2,19,1.23,1.2,1.18,0.95
'Fast',2,20,1.31,1.42,1.41,1.08
'Fast',5,21,2.98,2.64,2.34,1.28
'Fast',5,22,3.1,2.85,2.4,1.35
'Fast',5,23,2.8,2.48,2.16,1.01
'Fast',5,24,3.21,2.92,2.56,1.4
