'SEX'	'GROWTH'	'LOGDOSE'
'M'	17.1	0.301
'M'	14.3	0.301
'M'	21.6	0.301
'M'	24.5	0.602
'M'	20.6	0.602
'M'	23.8	0.602
'M'	27.7	0.903
'M'	31	0.903
'M'	29.4	0.903
'M'	30.1	1.204
'M'	28.6	1.204
'M'	34.2	1.204
'M'	37.3	1.204
'M'	33.3	1.505
'M'	31.8	1.505
'M'	40.2	1.505
'F'	18.5	0.301
'F'	22.1	0.301
'F'	15.3	0.301
'F'	23.6	0.602
'F'	26.9	0.602
'F'	20.2	0.602
'F'	24.3	0.903
'F'	27.1	0.903
'F'	30.1	0.903
'F'	28.1	0.903
'F'	30.3	1.204
'F'	33	1.204
'F'	35.8	1.204
'F'	32.6	1.505
'F'	36.1	1.505
'F'	30.5	1.505
