'TYPE'	'SEX'	'Y'
'>75%'	'MALE'	50
'>75%'	'MALE'	35
'>75%'	'MALE'	37
'>75%'	'MALE'	32
'>75%'	'MALE'	46
'>75%'	'MALE'	38
'>75%'	'MALE'	36
'>75%'	'MALE'	40
'>75%'	'MALE'	38
'>75%'	'MALE'	41
'>75%'	'FEMALE'	38
'>75%'	'FEMALE'	27
'>75%'	'FEMALE'	34
'>75%'	'FEMALE'	30
'>75%'	'FEMALE'	22
'>75%'	'FEMALE'	32
'>75%'	'FEMALE'	26
'>75%'	'FEMALE'	24
'>75%'	'FEMALE'	31
'>75%'	'FEMALE'	33
'<75%'	'MALE'	30
'<75%'	'MALE'	29
'<75%'	'MALE'	31
'<75%'	'MALE'	27
'<75%'	'MALE'	22
'<75%'	'MALE'	20
'<75%'	'MALE'	31
'<75%'	'MALE'	22
'<75%'	'MALE'	25
'<75%'	'MALE'	30
'<75%'	'FEMALE'	28
'<75%'	'FEMALE'	31
'<75%'	'FEMALE'	28
'<75%'	'FEMALE'	26
'<75%'	'FEMALE'	20
'<75%'	'FEMALE'	24
'<75%'	'FEMALE'	31
'<75%'	'FEMALE'	24
'<75%'	'FEMALE'	31
'<75%'	'FEMALE'	26
'NOT'	'MALE'	45
'NOT'	'MALE'	40
'NOT'	'MALE'	32
'NOT'	'MALE'	31
'NOT'	'MALE'	26
'NOT'	'MALE'	28
'NOT'	'MALE'	39
'NOT'	'MALE'	27
'NOT'	'MALE'	37
'NOT'	'MALE'	35
'NOT'	'FEMALE'	40
'NOT'	'FEMALE'	35
'NOT'	'FEMALE'	32
'NOT'	'FEMALE'	29
'NOT'	'FEMALE'	24
'NOT'	'FEMALE'	26
'NOT'	'FEMALE'	36
'NOT'	'FEMALE'	25
'NOT'	'FEMALE'	35
'NOT'	'FEMALE'	35
