'OBS'	'LOGACT21'	'DOSAGE'	'SEX'	'CAGE'
1	2.636	0	'Male'	5
2	2.736	0	'Male'	6
3	2.775	0	'Male'	7
4	2.672	0	'Male'	9
5	2.653	0	'Male'	11
6	2.569	0	'Male'	12
7	2.737	0	'Male'	15
8	2.588	0	'Male'	16
9	2.735	0	'Male'	17
10	2.444	3	'Male'	3
11	2.744	3	'Male'	5
12	2.207	3	'Male'	6
13	2.851	3	'Male'	7
14	2.533	3	'Male'	9
15	2.63	3	'Male'	11
16	2.688	3	'Male'	12
17	2.665	3	'Male'	15
18	2.517	3	'Male'	16
19	2.769	3	'Male'	17
20	2.694	6	'Male'	3
21	2.845	6	'Male'	5
22	2.865	6	'Male'	6
23	3.001	6	'Male'	7
24	3.043	6	'Male'	9
25	3.066	6	'Male'	11
26	2.747	6	'Male'	12
27	2.894	6	'Male'	15
28	1.851	6	'Male'	16
29	2.489	6	'Male'	17
30	2.494	0	'Female'	3
31	2.723	0	'Female'	5
32	2.841	0	'Female'	6
33	2.62	0	'Female'	7
34	2.682	0	'Female'	9
35	2.644	0	'Female'	11
36	2.684	0	'Female'	12
37	2.607	0	'Female'	15
38	2.591	0	'Female'	16
39	2.737	0	'Female'	17
40	2.22	3	'Female'	3
41	2.371	3	'Female'	5
42	2.679	3	'Female'	6
43	2.591	3	'Female'	7
44	2.942	3	'Female'	9
45	2.473	3	'Female'	11
46	2.814	3	'Female'	12
47	2.622	3	'Female'	15
48	2.73	3	'Female'	16
49	2.955	3	'Female'	17
50	2.54	6	'Female'	3
51	3.113	6	'Female'	5
52	2.468	6	'Female'	6
53	2.606	6	'Female'	7
54	2.764	6	'Female'	9
55	2.859	6	'Female'	11
56	2.763	6	'Female'	12
57	3	6	'Female'	15
58	3.111	6	'Female'	16
59	2.858	6	'Female'	17
