'SUBJ'	'DAY'	'MNSF'
1	1	10.5
1	2	7.78
1	3	6
2	1	4
2	2	2.5
2	3	16.75
3	1	25.75
3	2	28
3	3	22.75
4	1	20
4	2	22.5
4	3	20
5	1	4.75
5	2	8.25
5	3	6.5
6	1	17.25
6	2	22
6	3	18
7	1	24
7	2	9.25
7	3	12.5
8	1	45.5
8	2	50
8	3	41.75
9	1	10
9	2	10
9	3	5.5
10	1	28.25
10	2	31.25
10	3	41.25
11	1	21.75
11	2	22.25
11	3	15.5
12	1	23
12	2	29
12	3	26
13	1	10.5
13	2	7
13	3	7
14	1	22
14	2	19.5
14	3	22.5
15	1	7.25
15	2	5
15	3	0
16	1	19.5
16	2	9
16	3	9
17	1	23.25
17	2	26.5
17	3	17.5
18	1	28.5
18	2	35.25
18	3	8.75
19	1	3
19	2	1.75
19	3	2.5
