'SUBJ'	'DAY'	'SF'
1	1	17
1	1	5
1	1	15
1	1	5
1	2	10
1	2	1
1	2	11
1	2	9
1	3	5
1	3	1
1	3	8
1	3	10
2	1	1
2	1	7
2	1	0
2	1	8
2	2	7
2	2	4
2	2	-2
2	2	1
2	3	19
2	3	12
2	3	18
2	3	18
3	1	36
3	1	22
3	1	29
3	1	16
3	2	31
3	2	30
3	2	25
3	2	26
3	3	27
3	3	25
3	3	13
3	3	26
4	1	21
4	1	24
4	1	17
4	1	18
4	2	22
4	2	30
4	2	14
4	2	24
4	3	20
4	3	24
4	3	16
4	3	20
5	1	10
5	1	14
5	1	6
5	1	17
5	2	7
5	2	10
5	2	8
5	2	8
5	3	8
5	3	5
5	3	9
5	3	4
6	1	15
6	1	18
6	1	18
6	1	18
6	2	22
6	2	26
6	2	16
6	2	24
6	3	2
6	3	17
6	3	20
6	3	1
7	1	19
7	1	10
7	1	12
7	1	7
7	2	12
7	2	8
7	2	10
7	2	7
7	3	12
7	3	14
7	3	7
7	3	17
8	1	46
8	1	48
8	1	41
8	1	49
8	2	46
8	2	52
8	2	50
8	2	52
8	3	41
8	3	52
8	3	30
8	3	44
9	1	9
9	1	11
9	1	8
9	1	12
9	2	7
9	2	15
9	2	7
9	2	11
9	3	5
9	3	8
9	3	1
9	3	8
10	1	31
10	1	31
10	1	27
10	1	34
10	2	39
10	2	28
10	2	36
10	2	22
10	3	38
10	3	40
10	3	42
10	3	45
11	1	17
11	1	26
11	1	17
11	1	27
11	2	27
11	2	24
11	2	20
11	2	18
11	3	19
11	3	16
11	3	17
11	3	10
12	1	25
12	1	24
12	1	23
12	1	20
12	2	29
12	2	5
12	2	20
12	2	32
12	3	24
12	3	31
12	3	19
12	3	30
13	1	8
13	1	14
13	1	5
13	1	15
13	2	7
13	2	9
13	2	6
13	2	6
13	3	6
13	3	9
13	3	9
13	3	4
14	1	23
14	1	18
14	1	25
14	1	18
14	2	21
14	2	24
14	2	15
14	2	18
14	3	27
14	3	25
14	3	16
14	3	22
15	1	7
15	1	7
15	1	5
15	1	10
15	2	7
15	2	12
15	2	0
15	2	1
15	3	0
15	3	0
15	3	2
15	3	-2
16	1	22
16	1	19
16	1	20
16	1	17
16	2	7
16	2	13
16	2	5
16	2	11
16	3	6
16	3	14
16	3	3
16	3	13
17	1	24
17	1	20
17	1	28
17	1	21
17	2	32
17	2	27
17	2	27
17	2	20
17	3	22
17	3	17
17	3	16
17	3	15
18	1	28
18	1	28
18	1	33
18	1	25
18	2	42
18	2	34
18	2	38
18	2	27
18	3	9
18	3	7
18	3	5
18	3	14
19	1	1
19	1	5
19	1	2
19	1	4
19	2	0
19	2	0
19	2	2
19	2	5
19	3	6
19	3	2
19	3	2
19	3	0
